"@timestamp per 30 days",Archives,"Archive Size"
"2008-10-08",era,"12,553,409,047,981.00"
"2008-11-07",era,"160,169,027,141.00"
"2008-12-07",era,"2,974,717,619,293.00"
"2009-01-06",era,"8,926,494,603,591.00"
"2009-02-05",era,"260,397,053,308.00"
"2009-02-05",g1k,"943,817,485,619.00"
"2009-03-07",era,"2,363,166,198,843.00"
"2009-04-06",era,"884,686,117,829.00"
"2009-04-06",g1k,"210,502.00"
"2009-05-06",era,"9,685,564,710,768.00"
"2009-05-06",g1k,"377,653,094,037.00"
"2009-06-05",era,"1,326,274,774,533.00"
"2009-06-05",g1k,"3,836,134,905.00"
"2009-07-05",era,"8,863,635,558.00"
"2009-07-05",g1k,"3,224,556,653.00"
"2009-08-04",era,"7,760,779,092,742.00"
"2009-08-04",g1k,"10,337,423,301,383.00"
"2009-09-03",era,"1,802,301,932,611.00"
"2009-09-03",g1k,"5,897,788,231,903.00"
"2009-10-03",era,"1,982,299,034,285.00"
"2009-10-03",g1k,"1,416,486,984,598.00"
"2009-11-02",era,"1,252,513,186,338.00"
"2009-11-02",g1k,"790,494,349,006.00"
"2009-12-02",era,"8,636,668,788,147.00"
"2009-12-02",g1k,"521,882,240,737.00"
"2010-01-01",era,"6,688,032,752,535.00"
"2010-01-01",g1k,"1,264,773,207,114.00"
"2010-01-31",era,"7,038,437,352,595.00"
"2010-01-31",g1k,"1,740,753,458,996.00"
"2010-03-02",era,"4,875,191,543,478.00"
"2010-03-02",g1k,"137,561,902,442.00"
"2010-04-01",era,"4,045,535,185,900.00"
"2010-04-01",g1k,"750,907,192,364.00"
"2010-05-01",era,"7,123,909,714,102.00"
"2010-05-01",g1k,"1,963,283,768,735.00"
"2010-05-31",era,"17,370,326,785,188.00"
"2010-05-31",g1k,"971,307,433,783.00"
"2010-06-30",ega,"79,889,438.00"
"2010-06-30",era,"5,286,653,258,795.00"
"2010-06-30",g1k,"659,645,160,722.00"
"2010-07-30",ega,"2,838,948,211,719.00"
"2010-07-30",era,"23,169,996,967,288.00"
"2010-07-30",g1k,"5,398,811,608,796.00"
"2010-08-29",ega,"722,196,709,304.00"
"2010-08-29",era,"29,127,939,252,427.00"
"2010-08-29",g1k,"2,992,091,743,002.00"
"2010-09-28",ega,"1,615,525,661,741.00"
"2010-09-28",era,"9,537,559,567,289.00"
"2010-09-28",g1k,"2,514,443,816,268.00"
"2010-10-28",ega,"1,055,921,583,874.00"
"2010-10-28",era,"9,659,282,060,747.00"
"2010-10-28",g1k,"3,611,848,757,977.00"
"2010-11-27",ega,"1,193,267,480,137.00"
"2010-11-27",era,"5,423,914,317,611.00"
"2010-11-27",g1k,"1,466,174,426,903.00"
"2010-12-27",ega,"937,016,447,117.00"
"2010-12-27",era,"12,470,937,143,700.00"
"2010-12-27",g1k,"1,711,832,477,304.00"
"2011-01-26",ega,"741,839,751,546.00"
"2011-01-26",era,"15,028,140,942,836.00"
"2011-01-26",g1k,"7,171,641,704,583.00"
"2011-02-25",ega,"505,715,087,978.00"
"2011-02-25",era,"8,601,322,676,783.00"
"2011-02-25",g1k,"5,362,874,453,994.00"
"2011-03-27",ega,"10,601,451,979,383.00"
"2011-03-27",era,"16,130,135,612,272.00"
"2011-03-27",g1k,"3,634,097,613,483.00"
"2011-04-26",ega,"9,094,671,888,426.00"
"2011-04-26",era,"15,788,163,379,408.00"
"2011-04-26",g1k,"2,942,129,585,076.00"
"2011-05-26",era,"7,501,155,685,944.00"
"2011-05-26",g1k,"519,478,836,814.00"
"2011-06-25",ega,"8,033,225,880,534.00"
"2011-06-25",era,"8,597,654,825,193.00"
"2011-06-25",g1k,"1,385,993,089,564.00"
"2011-07-25",ega,"12,261,580,757,153.00"
"2011-07-25",era,"9,852,831,655,294.00"
"2011-07-25",g1k,"958,000,839,040.00"
"2011-08-24",ega,"6,896,791,209,677.00"
"2011-08-24",era,"12,805,140,791,094.00"
"2011-08-24",g1k,"3,212,683,228,174.00"
"2011-09-23",ega,"222,294,490,570.00"
"2011-09-23",era,"40,350,944,409,508.00"
"2011-09-23",g1k,"2,365,529,539,247.00"
"2011-10-23",ega,"6,539,009,206,827.00"
"2011-10-23",era,"28,248,103,262,889.00"
"2011-10-23",g1k,"6,355,740,088,517.00"
"2011-11-22",ega,"2,233,437,829.00"
"2011-11-22",era,"24,991,835,594,248.00"
"2011-11-22",g1k,"100,856,917,630,186.00"
"2011-12-22",ega,"25,348,649,668,910.00"
"2011-12-22",era,"29,315,257,386,733.00"
"2011-12-22",g1k,"9,897,609,808,836.00"
"2012-01-21",ega,"52,750,547,052,109.00"
"2012-01-21",era,"22,605,245,691,096.00"
"2012-01-21",g1k,"6,951,559,342,884.00"
"2012-02-20",ega,"33,691,224,913,457.00"
"2012-02-20",era,"5,563,314,702,717.00"
"2012-02-20",g1k,"28,198,164,227,714.00"
"2012-03-21",ega,"4,779,006,285,097.00"
"2012-03-21",era,"20,043,882,408,457.00"
"2012-03-21",g1k,"1,200,308,488,914.00"
"2012-04-20",ega,"29,553,277,360,502.00"
"2012-04-20",era,"32,046,502,399,817.00"
"2012-04-20",g1k,"3,147,891,223,316.00"
"2012-05-20",ega,"90,393,425,281,675.00"
"2012-05-20",era,"35,077,272,423,941.00"
"2012-05-20",g1k,"3,829,697,006,857.00"
"2012-06-19",ega,"89,415,461,061,574.00"
"2012-06-19",era,"15,941,404,488,285.00"
"2012-06-19",g1k,"88,249,126,109.00"
"2012-07-19",ega,"24,440,517,938,999.00"
"2012-07-19",era,"40,636,866,226,701.00"
"2012-07-19",g1k,"38,796,920,171,619.00"
"2012-08-18",ega,"18,958,241,937,629.00"
"2012-08-18",era,"99,148,144,013,355.00"
"2012-08-18",g1k,"491,158,145,868.00"
"2012-09-17",ega,"135,373,541,787.00"
"2012-09-17",era,"135,445,776,480,392.00"
"2012-09-17",g1k,"771,599,610,337.00"
"2012-10-17",ega,"2,982,348,627,232.00"
"2012-10-17",era,"168,249,812,004,551.00"
"2012-10-17",g1k,"22,367,233,351,314.00"
"2012-11-16",ega,"46,206,712,404,035.00"
"2012-11-16",era,"47,347,878,466,942.00"
"2012-11-16",g1k,"62,041,862,137,423.00"
"2012-12-16",ega,"41,338,307,918,317.00"
"2012-12-16",era,"43,205,485,268,302.00"
"2012-12-16",g1k,"3,528,766,866,012.00"
"2013-01-15",ega,"56,869,148,468,437.00"
"2013-01-15",era,"47,344,268,464,483.00"
"2013-01-15",g1k,"17,484,479,681,655.00"
"2013-02-14",ega,"13,785,596,886,646.00"
"2013-02-14",era,"65,342,323,837,363.00"
"2013-02-14",g1k,"21,755,253,701,458.00"
"2013-03-16",ega,"19,830,209,690,838.00"
"2013-03-16",era,"88,621,903,606,966.00"
"2013-03-16",g1k,"23,683,147,393,691.00"
"2013-04-15",ega,"38,578,082,341,487.00"
"2013-04-15",era,"60,505,189,887,310.00"
"2013-04-15",g1k,"59,229,424,038,971.00"
"2013-05-15",ega,"16,705,281,576,752.00"
"2013-05-15",era,"72,418,169,725,973.00"
"2013-05-15",g1k,"20,692,109,500,221.00"
"2013-06-14",ega,"58,318,013,216,865.00"
"2013-06-14",era,"74,594,234,347,928.00"
"2013-06-14",g1k,"119,880,032,945,106.00"
"2013-06-14",hipsci,"186.00"
"2013-07-14",ega,"16,095,847,248,320.00"
"2013-07-14",era,"85,477,287,941,084.00"
"2013-07-14",g1k,"75,220,891,884,225.00"
"2013-08-13",ega,"17,240,868,433,944.00"
"2013-08-13",era,"90,304,180,437,351.00"
"2013-08-13",g1k,"33,184,987,911,134.00"
"2013-09-12",ega,"33,312,196,312,844.00"
"2013-09-12",era,"45,309,706,031,497.00"
"2013-09-12",g1k,"1,850,417,112,684.00"
"2013-10-12",ega,"59,374,993,552,788.00"
"2013-10-12",era,"23,739,019,709,623.00"
"2013-10-12",g1k,"45,131,406,385.00"
"2013-11-11",ega,"177,625,688,299,309.00"
"2013-11-11",era,"60,914,813,330,345.00"
"2013-11-11",g1k,"384,044,398,533.00"
"2013-12-11",ega,"126,162,952,252,819.00"
"2013-12-11",era,"24,013,832,137,525.00"
"2013-12-11",g1k,"6,724,890,447,728.00"
"2014-01-10",ega,"142,763,454,504,675.00"
"2014-01-10",era,"218,248,109,918,225.00"
"2014-01-10",g1k,"4,224,073,149,568.00"
"2014-02-09",ega,"93,710,917,946,716.00"
"2014-02-09",era,"81,360,251,513,844.00"
"2014-02-09",g1k,"4,283,779,632,772.00"
"2014-03-11",ega,"84,073,536,498,303.00"
"2014-03-11",era,"92,960,642,656,160.00"
"2014-03-11",g1k,"465,041,244,770.00"
"2014-04-10",ega,"112,648,296,833,557.00"
"2014-04-10",era,"160,540,295,885,890.00"
"2014-04-10",g1k,"1,157,751,958,959.00"
"2014-05-10",ega,"66,911,307,793,766.00"
"2014-05-10",era,"104,432,107,838,788.00"
"2014-05-10",g1k,"524,869,006,103.00"
"2014-05-10",hipsci,"648,748,613,179.00"
"2014-06-09",ega,"28,472,112,655,461.00"
"2014-06-09",era,"112,113,918,684,580.00"
"2014-06-09",g1k,"395,269,486,302.00"
"2014-06-09",hipsci,"98,449,954.00"
"2014-07-09",ega,"65,745,093,008,839.00"
"2014-07-09",era,"61,302,434,324,774.00"
"2014-07-09",g1k,"187,345,467,715.00"
"2014-07-09",hipsci,"403,621.00"
"2014-08-08",ega,"118,894,629,732,207.00"
"2014-08-08",era,"197,521,103,592,414.00"
"2014-08-08",g1k,"113,537,166,066.00"
"2014-08-08",hipsci,"3,692,391.00"
"2014-09-07",ega,"176,570,078,232,684.00"
"2014-09-07",era,"111,103,782,063,889.00"
"2014-09-07",g1k,"315,760,097,652.00"
"2014-09-07",hipsci,"8,894,873.00"
"2014-10-07",ega,"65,617,821,111,631.00"
"2014-10-07",era,"36,515,065,123,887.00"
"2014-10-07",g1k,"1,344,294,971,751.00"
"2014-11-06",ega,"62,981,417,065,622.00"
"2014-11-06",era,"160,345,907,891,451.00"
"2014-11-06",g1k,"28,025,467,376.00"
"2014-12-06",ega,"56,116,060,407,371.00"
"2014-12-06",era,"229,234,817,543,348.00"
"2014-12-06",g1k,"32,745,403,926.00"
"2015-01-05",ega,"121,972,308,709,016.00"
"2015-01-05",era,"78,381,039,722,256.00"
"2015-01-05",g1k,"2,715,166,908.00"
"2015-02-04",ega,"90,770,034,374,156.00"
"2015-02-04",era,"94,435,644,201,798.00"
"2015-02-04",g1k,"64,357,024,030.00"
"2015-03-06",ega,"43,664,098,150,097.00"
"2015-03-06",era,"207,477,877,508,823.00"
"2015-03-06",g1k,"16,931,108,236.00"
"2015-04-05",ega,"116,535,034,771,001.00"
"2015-04-05",era,"185,060,078,329,926.00"
"2015-04-05",g1k,"8,451,845,975.00"
"2015-04-05",hipsci,"2,892,133,334,268.00"
"2015-05-05",ega,"81,492,600,458,227.00"
"2015-05-05",era,"117,057,699,011,569.00"
"2015-05-05",g1k,"6,764,756,260,712.00"
"2015-05-05",hipsci,"498,444,191,930.00"
"2015-06-04",ega,"60,761,003,870,595.00"
"2015-06-04",era,"230,917,123,814,067.00"
"2015-06-04",g1k,"39,848,488,021,211.00"
"2015-07-04",ega,"17,660,684,537,863.00"
"2015-07-04",era,"321,072,318,534,684.00"
"2015-07-04",g1k,"25,979,941,020,427.00"
"2015-08-03",ega,"92,515,573,819,460.00"
"2015-08-03",era,"364,028,374,690,308.00"
"2015-08-03",g1k,"69,603,919,714,588.00"
"2015-08-03",hipsci,"704,135,451.00"
"2015-09-02",ega,"172,074,238,065,200.00"
"2015-09-02",era,"184,294,227,915,555.00"
"2015-09-02",faang,"323.00"
"2015-09-02",g1k,"33,974,360,835,766.00"
"2015-09-02",hipsci,"2,693,710,023.00"
"2015-10-02",ega,"140,010,755,894,319.00"
"2015-10-02",era,"252,148,005,574,879.00"
"2015-10-02",g1k,"22,350,070,106,253.00"
"2015-10-02",hipsci,"29,861,057,484.00"
"2015-11-01",ega,"93,803,111,779,732.00"
"2015-11-01",era,"245,696,462,924,872.00"
"2015-11-01",g1k,"9,439,753,994,349.00"
"2015-11-01",hipsci,"12,617,917,659,986.00"
"2015-12-01",ega,"64,281,355,068,594.00"
"2015-12-01",era,"211,416,735,399,458.00"
"2015-12-01",g1k,"1,278,358,481,708.00"
"2015-12-01",hipsci,"1,682,032.00"
"2015-12-31",ega,"87,182,208,381,173.00"
"2015-12-31",era,"254,236,055,562,862.00"
"2015-12-31",faang,"464,694,883,117.00"
"2015-12-31",g1k,"625,185,061,095.00"
"2015-12-31",hipsci,"16,399,115.00"
"2016-01-30",ega,"104,686,692,676,796.00"
"2016-01-30",era,"154,275,727,004,808.00"
"2016-01-30",g1k,"843,681,660,155.00"
"2016-01-30",hipsci,"10,173,805.00"
"2016-02-29",ega,"156,067,764,067,545.00"
"2016-02-29",era,"192,947,702,365,825.00"
"2016-02-29",faang,"207,563.00"
"2016-02-29",g1k,"44,186,000,108.00"
"2016-02-29",hipsci,"53,136,575.00"
"2016-03-30",ega,"258,638,519,889,242.00"
"2016-03-30",era,"276,359,121,689,001.00"
"2016-03-30",faang,"136,179.00"
"2016-03-30",g1k,"892,648,948.00"
"2016-03-30",hipsci,"1,840,423,209.00"
"2016-04-29",ega,"325,279,129,311,877.00"
"2016-04-29",era,"271,695,773,427,810.00"
"2016-04-29",faang,"3,568,708.00"
"2016-04-29",g1k,"1,302,107,223,255.00"
"2016-05-29",ega,"91,073,477,707,087.00"
"2016-05-29",era,"263,659,034,760,130.00"
"2016-05-29",g1k,"3,068,546,765,009.00"
"2016-05-29",hipsci,"63,236,578.00"
"2016-06-28",ega,"123,932,149,057,233.00"
"2016-06-28",era,"172,509,873,424,746.00"
"2016-06-28",faang,"82,806.00"
"2016-06-28",g1k,"1,327,466,864,938.00"
"2016-06-28",hipsci,"11,647,566.00"
"2016-07-28",ega,"62,399,702,354,551.00"
"2016-07-28",era,"67,892,239,265,836.00"
"2016-07-28",faang,"9,133,726.00"
"2016-07-28",g1k,"1,544,335,796,777.00"
